full_scorecard,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place
https://stats.espncricinfo.com/ci/engine/match/1304075.html,Chennai Super Kings,Gujarat Titans,169.0,170.0,Gujarat Titans,Field,Titans,3 wickets,David Miller,Maharashtra Cricket Association Stadium,Pune
https://stats.espncricinfo.com/ci/engine/match/1304076.html,Rajasthan Royals,Kolkata Knight Riders,217.0,210.0,Kolkata Knight Riders,Field,Royals,7 runs,Yuzvendra Chahal,Brabourne Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304077.html,Royal Challengers Bangalore,Lucknow Super Giants,181.0,163.0,Lucknow Super Giants,Field,RCB,18 runs,Faf du Plessis,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304078.html,Punjab Kings,Delhi Capitals,115.0,119.0,Delhi Capitals,Field,Capitals,9 wickets,Kuldeep Yadav,Brabourne Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304079.html,Mumbai Indians,Chennai Super Kings,155.0,156.0,Chennai Super Kings,Field,Super,3 wickets,Mukesh Choudhary,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304080.html,Rajasthan Royals,Delhi Capitals,222.0,207.0,Delhi Capitals,Field,Royals,15 runs,Jos Buttler,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304081.html,Gujarat Titans,Kolkata Knight Riders,156.0,148.0,Gujarat Titans,Bat,Titans,8 runs,Rashid Khan,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304082.html,Royal Challengers Bangalore,Sunrisers Hyderabad,68.0,72.0,Sunrisers Hyderabad,Field,Sunrisers,9 wickets,Marco Jansen,Brabourne Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304083.html,Lucknow Super Giants,Mumbai Indians,168.0,132.0,Mumbai Indians,Field,Super,36 runs,KL Rahul,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304084.html,Punjab Kings,Chennai Super Kings,187.0,176.0,Chennai Super Kings,Field,Punjab,11 runs,Shikhar Dhawan,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304085.html,Rajasthan Royals,Royal Challengers Bangalore,144.0,115.0,Royal Challengers Bangalore,Field,Royals,29 runs,Riyan Parag,Maharashtra Cricket Association Stadium,Pune
https://stats.espncricinfo.com/ci/engine/match/1304086.html,Sunrisers Hyderabad,Gujarat Titans,195.0,199.0,Gujarat Titans,Field,Titans,5 wickets,Umran Malik,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304087.html,Kolkata Knight Riders,Delhi Capitals,146.0,150.0,Delhi Capitals,Field,Capitals,4 wickets,Kuldeep Yadav,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304088.html,Lucknow Super Giants,Punjab Kings,153.0,133.0,Punjab Kings,Field,Super,20 runs,Krunal Pandya,Maharashtra Cricket Association Stadium,Pune
https://stats.espncricinfo.com/ci/engine/match/1304089.html,Royal Challengers Bangalore,Gujarat Titans,170.0,174.0,Royal Challengers Bangalore,Bat,Titans,6 wickets,Rahul Tewatia,Brabourne Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304090.html,Rajasthan Royals,Mumbai Indians,158.0,161.0,Mumbai Indians,Field,Mumbai,5 wickets,Suryakumar Yadav,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304091.html,Lucknow Super Giants,Delhi Capitals,195.0,189.0,Lucknow Super Giants,Bat,Super,6 runs,Mohsin Khan,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304092.html,Chennai Super Kings,Sunrisers Hyderabad,202.0,189.0,Sunrisers Hyderabad,Field,Super,13 runs,Ruturaj Gaikwad,Maharashtra Cricket Association Stadium,Pune
https://stats.espncricinfo.com/ci/engine/match/1304093.html,Rajasthan Royals,Kolkata Knight Riders,152.0,158.0,Kolkata Knight Riders,Field,KKR,7 wickets,Rinku Singh,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304094.html,Gujarat Titans,Punjab Kings,143.0,145.0,Gujarat Titans,Bat,Punjab,8 wickets,Kagiso Rabada,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304095.html,Royal Challengers Bangalore,Chennai Super Kings,173.0,160.0,Chennai Super Kings,Field,RCB,13 runs,Harshal Patel,Maharashtra Cricket Association Stadium,Pune
https://stats.espncricinfo.com/ci/engine/match/1304096.html,Delhi Capitals,Sunrisers Hyderabad,207.0,186.0,Sunrisers Hyderabad,Field,Capitals,21 runs,David Warner,Brabourne Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304097.html,Mumbai Indians,Gujarat Titans,177.0,172.0,Gujarat Titans,Field,Mumbai,5 runs,Tim David,Brabourne Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304098.html,Punjab Kings,Rajasthan Royals,189.0,190.0,Punjab Kings,Bat,Royals,6 wickets,Yashasvi Jaiswal,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304099.html,Lucknow Super Giants,Kolkata Knight Riders,176.0,101.0,Kolkata Knight Riders,Field,Super,75 runs,Avesh Khan,Maharashtra Cricket Association Stadium,Pune
https://stats.espncricinfo.com/ci/engine/match/1304100.html,Royal Challengers Bangalore,Sunrisers Hyderabad,192.0,125.0,Royal Challengers Bangalore,Bat,RCB,67 runs,Wanindu Hasaranga de Silva,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304101.html,Chennai Super Kings,Delhi Capitals,208.0,117.0,Delhi Capitals,Field,Super,91 runs,Devon Conway,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304102.html,Kolkata Knight Riders,Mumbai Indians,165.0,113.0,Mumbai Indians,Field,KKR,52 runs,Jasprit Bumrah,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304103.html,Gujarat Titans,Lucknow Super Giants,144.0,82.0,Gujarat Titans,Bat,Titans,62 runs,Shubman Gill,Maharashtra Cricket Association Stadium,Pune
https://stats.espncricinfo.com/ci/engine/match/1304104.html,Rajasthan Royals,Delhi Capitals,160.0,161.0,Delhi Capitals,Field,Capitals,8 wickets,Mitchell Marsh,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304105.html,Chennai Super Kings,Mumbai Indians,97.0,103.0,Mumbai Indians,Field,Mumbai,5 wickets,Daniel Sams,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304106.html,Punjab Kings,Royal Challengers Bangalore,209.0,155.0,Royal Challengers Bangalore,Field,Punjab,54 runs,Jonny Bairstow,Brabourne Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304107.html,Kolkata Knight Riders,Sunrisers Hyderabad,177.0,123.0,Kolkata Knight Riders,Bat,KKR,54 runs,Andre Russell,Maharashtra Cricket Association Stadium,Pune
https://stats.espncricinfo.com/ci/engine/match/1304108.html,Chennai Super Kings,Gujarat Titans,133.0,137.0,Chennai Super Kings,Bat,Titans,7 wickets,Wriddhiman Saha,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304109.html,Rajasthan Royals,Lucknow Super Giants,178.0,154.0,Rajasthan Royals,Bat,Royals,24 runs,Trent Boult,Brabourne Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304110.html,Delhi Capitals,Punjab Kings,159.0,142.0,Punjab Kings,Field,Capitals,17 runs,Shardul Thakur,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304111.html,Sunrisers Hyderabad,Mumbai Indians,193.0,190.0,Mumbai Indians,Field,Sunrisers,3 runs,Rahul Tripathi,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304112.html,Lucknow Super Giants,Kolkata Knight Riders,210.0,208.0,Lucknow Super Giants,Bat,Super,2 runs,Quinton de Kock,Dr DY Patil Sports Academy,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304113.html,Gujarat Titans,Royal Challengers Bangalore,168.0,170.0,Gujarat Titans,Bat,RCB,8 wickets,Virat Kohli,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304114.html,Chennai Super Kings,Rajasthan Royals,150.0,151.0,Chennai Super Kings,Bat,Royals,5 wickets,Ravichandran Ashwin,Brabourne Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304115.html,Delhi Capitals,Mumbai Indians,159.0,160.0,Mumbai Indians,Field,Mumbai,5 wickets,Jasprit Bumrah,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1304116.html,Sunrisers Hyderabad,Punjab Kings,157.0,160.0,Sunrisers Hyderabad,Bat,Punjab,5 wickets,Harpreet Brar,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1312197.html,Rajasthan Royals,Gujarat Titans,188.0,191.0,Gujarat Titans,Field,Titans,7 wickets,David Miller,Eden Gardens,Kolkata
https://stats.espncricinfo.com/ci/engine/match/1312198.html,Royal Challengers Bangalore,Lucknow Super Giants,207.0,193.0,Lucknow Super Giants,Field,RCB,14 runs,Rajat Patidar,Eden Gardens,Kolkata
https://stats.espncricinfo.com/ci/engine/match/1312199.html,Royal Challengers Bangalore,Rajasthan Royals,157.0,161.0,Rajasthan Royals,Field,Royals,7 wickets,Jos Buttler,Narendra Modi Stadium,Ahmedabad
https://stats.espncricinfo.com/ci/engine/match/1312200.html,Rajasthan Royals,Gujarat Titans,130.0,133.0,Rajasthan Royals,Bat,Titans,7 wickets,Hardik Pandya,Narendra Modi Stadium,Ahmedabad
https://stats.espncricinfo.com/ci/engine/match/1254058.html,Mumbai Indians,Royal Challengers Bangalore,159.0,160.0,Royal Challengers Bangalore,Field,RCB,2 wickets,Harshal Patel,MA Chidambaram Stadium,Chepauk
https://stats.espncricinfo.com/ci/engine/match/1254059.html,Chennai Super Kings,Delhi Capitals,188.0,190.0,Delhi Capitals,Field,Capitals,7 wickets,Shikhar Dhawan,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1254060.html,Kolkata Knight Riders,Sunrisers Hyderabad,187.0,177.0,Sunrisers Hyderabad,Field,KKR,10 runs,Nitish Rana,MA Chidambaram Stadium,Chepauk
https://stats.espncricinfo.com/ci/engine/match/1254061.html,Punjab Kings,Rajasthan Royals,221.0,217.0,Rajasthan Royals,Field,Punjab,4 runs,Sanju Samson,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1254062.html,Mumbai Indians,Kolkata Knight Riders,152.0,142.0,Kolkata Knight Riders,Field,Mumbai,10 runs,Rahul Chahar,MA Chidambaram Stadium,Chepauk
https://stats.espncricinfo.com/ci/engine/match/1254063.html,Royal Challengers Bangalore,Sunrisers Hyderabad,149.0,143.0,Sunrisers Hyderabad,Field,RCB,6 runs,Glenn Maxwell,MA Chidambaram Stadium,Chepauk
https://stats.espncricinfo.com/ci/engine/match/1254064.html,Delhi Capitals,Rajasthan Royals,147.0,150.0,Rajasthan Royals,Field,Royals,3 wickets,Jaydev Unadkat,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1254065.html,Punjab Kings,Chennai Super Kings,106.0,107.0,Chennai Super Kings,Field,Super,6 wickets,Deepak Chahar,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1254066.html,Mumbai Indians,Sunrisers Hyderabad,150.0,137.0,Mumbai Indians,Bat,Mumbai,13 runs,Kieron Pollard,MA Chidambaram Stadium,Chepauk
https://stats.espncricinfo.com/ci/engine/match/1254067.html,Royal Challengers Bangalore,Kolkata Knight Riders,204.0,166.0,Royal Challengers Bangalore,Bat,RCB,38 runs,AB de Villiers,MA Chidambaram Stadium,Chepauk
https://stats.espncricinfo.com/ci/engine/match/1254068.html,Punjab Kings,Delhi Capitals,195.0,198.0,Delhi Capitals,Field,Capitals,6 wickets,Shikhar Dhawan,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1254069.html,Chennai Super Kings,Rajasthan Royals,188.0,143.0,Rajasthan Royals,Field,Super,45 runs,Moeen Ali,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1254070.html,Mumbai Indians,Delhi Capitals,137.0,138.0,Mumbai Indians,Bat,Capitals,6 wickets,Amit Mishra,MA Chidambaram Stadium,Chepauk
https://stats.espncricinfo.com/ci/engine/match/1254071.html,Punjab Kings,Sunrisers Hyderabad,120.0,121.0,Punjab Kings,Bat,Sunrisers,9 wickets,Jonny Bairstow,MA Chidambaram Stadium,Chepauk
https://stats.espncricinfo.com/ci/engine/match/1254072.html,Chennai Super Kings,Kolkata Knight Riders,220.0,202.0,Kolkata Knight Riders,Field,Super,18 runs,Faf du Plessis,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1254073.html,Rajasthan Royals,Royal Challengers Bangalore,177.0,181.0,Royal Challengers Bangalore,Field,RCB,10 wickets,Devdutt Padikkal,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1254074.html,Mumbai Indians,Punjab Kings,131.0,132.0,Punjab Kings,Field,Punjab,9 wickets,KL Rahul,MA Chidambaram Stadium,Chepauk
https://stats.espncricinfo.com/ci/engine/match/1254075.html,Kolkata Knight Riders,Rajasthan Royals,133.0,134.0,Rajasthan Royals,Field,Royals,6 wickets,Chris Morris,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1254076.html,Chennai Super Kings,Royal Challengers Bangalore,191.0,122.0,Chennai Super Kings,Bat,Super,69 runs,Ravindra Jadeja,Wankhede Stadium,Mumbai
https://stats.espncricinfo.com/ci/engine/match/1254077.html,Delhi Capitals,Sunrisers Hyderabad,159.0,159.0,Delhi Capitals,Bat,Tied,Tied,Prithvi Shaw,MA Chidambaram Stadium,Chepauk
https://stats.espncricinfo.com/ci/engine/match/1254078.html,Punjab Kings,Kolkata Knight Riders,123.0,126.0,Kolkata Knight Riders,Field,KKR,5 wickets,Eoin Morgan,Narendra Modi Stadium,Ahmedabad
https://stats.espncricinfo.com/ci/engine/match/1254079.html,Royal Challengers Bangalore,Delhi Capitals,171.0,170.0,Delhi Capitals,Field,RCB,1 run,AB de Villiers,Narendra Modi Stadium,Ahmedabad
https://stats.espncricinfo.com/ci/engine/match/1254080.html,Sunrisers Hyderabad,Chennai Super Kings,171.0,173.0,Sunrisers Hyderabad,Bat,Super,7 wickets,Ruturaj Gaikwad,Arun Jaitley Stadium,Delhi
https://stats.espncricinfo.com/ci/engine/match/1254081.html,Rajasthan Royals,Mumbai Indians,171.0,172.0,Mumbai Indians,Field,Mumbai,7 wickets,Quinton de Kock,Arun Jaitley Stadium,Delhi
https://stats.espncricinfo.com/ci/engine/match/1254082.html,Kolkata Knight Riders,Delhi Capitals,154.0,156.0,Delhi Capitals,Field,Capitals,7 wickets,Prithvi Shaw,Narendra Modi Stadium,Ahmedabad
https://stats.espncricinfo.com/ci/engine/match/1254083.html,Punjab Kings,Royal Challengers Bangalore,179.0,145.0,Royal Challengers Bangalore,Field,Punjab,34 runs,Harpreet Brar,Narendra Modi Stadium,Ahmedabad
https://stats.espncricinfo.com/ci/engine/match/1254084.html,Chennai Super Kings,Mumbai Indians,218.0,219.0,Mumbai Indians,Field,Mumbai,4 wickets,Kieron Pollard,Arun Jaitley Stadium,Delhi
https://stats.espncricinfo.com/ci/engine/match/1254085.html,Rajasthan Royals,Sunrisers Hyderabad,220.0,165.0,Sunrisers Hyderabad,Field,Royals,55 runs,Jos Buttler,Arun Jaitley Stadium,Delhi
https://stats.espncricinfo.com/ci/engine/match/1254086.html,Punjab Kings,Delhi Capitals,166.0,167.0,Delhi Capitals,Field,Capitals,7 wickets,Mayank Agarwal,Narendra Modi Stadium,Ahmedabad
https://stats.espncricinfo.com/ci/engine/match/1254104.html,Chennai Super Kings,Mumbai Indians,156.0,136.0,Chennai Super Kings,Bat,Super,20 runs,Ruturaj Gaikwad,Dubai International Cricket Stadium,
https://stats.espncricinfo.com/ci/engine/match/1254087.html,Royal Challengers Bangalore,Kolkata Knight Riders,92.0,94.0,Royal Challengers Bangalore,Bat,KKR,9 wickets,Varun Chakravarthy,Zayed Cricket Stadium,Abu Dhabi
https://stats.espncricinfo.com/ci/engine/match/1254111.html,Rajasthan Royals,Punjab Kings,185.0,183.0,Punjab Kings,Field,Royals,2 runs,Kartik Tyagi,Dubai International Cricket Stadium,
https://stats.espncricinfo.com/ci/engine/match/1254105.html,Sunrisers Hyderabad,Delhi Capitals,134.0,139.0,Sunrisers Hyderabad,Bat,Capitals,8 wickets,Anrich Nortje,Dubai International Cricket Stadium,
https://stats.espncricinfo.com/ci/engine/match/1254096.html,Mumbai Indians,Kolkata Knight Riders,155.0,159.0,Kolkata Knight Riders,Field,KKR,7 wickets,Sunil Narine,Zayed Cricket Stadium,Abu Dhabi
https://stats.espncricinfo.com/ci/engine/match/1254113.html,Royal Challengers Bangalore,Chennai Super Kings,156.0,157.0,Chennai Super Kings,Field,Super,6 wickets,Dwayne Bravo,Sharjah Cricket Stadium,
https://stats.espncricinfo.com/ci/engine/match/1254097.html,Delhi Capitals,Rajasthan Royals,154.0,121.0,Rajasthan Royals,Field,Capitals,33 runs,Shreyas Iyer,Zayed Cricket Stadium,Abu Dhabi
https://stats.espncricinfo.com/ci/engine/match/1254107.html,Punjab Kings,Sunrisers Hyderabad,125.0,120.0,Sunrisers Hyderabad,Field,Punjab,5 runs,Jason Holder,Sharjah Cricket Stadium,
https://stats.espncricinfo.com/ci/engine/match/1254098.html,Kolkata Knight Riders,Chennai Super Kings,171.0,172.0,Kolkata Knight Riders,Bat,Super,2 wickets,Ravindra Jadeja,Zayed Cricket Stadium,Abu Dhabi
https://stats.espncricinfo.com/ci/engine/match/1254108.html,Royal Challengers Bangalore,Mumbai Indians,165.0,111.0,Mumbai Indians,Field,RCB,54 runs,Glenn Maxwell,Dubai International Cricket Stadium,
https://stats.espncricinfo.com/ci/engine/match/1254100.html,Rajasthan Royals,Sunrisers Hyderabad,164.0,167.0,Rajasthan Royals,Bat,Sunrisers,7 wickets,Jason Roy,Dubai International Cricket Stadium,
https://stats.espncricinfo.com/ci/engine/match/1254092.html,Delhi Capitals,Kolkata Knight Riders,127.0,130.0,Kolkata Knight Riders,Field,KKR,3 wickets,Sunil Narine,Sharjah Cricket Stadium,
https://stats.espncricinfo.com/ci/engine/match/1254099.html,Punjab Kings,Mumbai Indians,135.0,137.0,Mumbai Indians,Field,Mumbai,6 wickets,Kieron Pollard,Zayed Cricket Stadium,Abu Dhabi
https://stats.espncricinfo.com/ci/engine/match/1254103.html,Rajasthan Royals,Royal Challengers Bangalore,149.0,153.0,Royal Challengers Bangalore,Field,RCB,7 wickets,Yuzvendra Chahal,Dubai International Cricket Stadium,
https://stats.espncricinfo.com/ci/engine/match/1254091.html,Sunrisers Hyderabad,Chennai Super Kings,134.0,139.0,Chennai Super Kings,Field,Super,6 wickets,Josh Hazlewood,Sharjah Cricket Stadium,
https://stats.espncricinfo.com/ci/engine/match/1254102.html,Kolkata Knight Riders,Punjab Kings,165.0,168.0,Punjab Kings,Field,Punjab,5 wickets,KL Rahul,Dubai International Cricket Stadium,
https://stats.espncricinfo.com/ci/engine/match/1254112.html,Mumbai Indians,Delhi Capitals,129.0,132.0,Delhi Capitals,Field,Capitals,4 wickets,Axar Patel,Sharjah Cricket Stadium,
https://stats.espncricinfo.com/ci/engine/match/1254089.html,Chennai Super Kings,Rajasthan Royals,189.0,190.0,Rajasthan Royals,Field,Royals,7 wickets,Ruturaj Gaikwad,Zayed Cricket Stadium,Abu Dhabi
https://stats.espncricinfo.com/ci/engine/match/1254090.html,Royal Challengers Bangalore,Punjab Kings,164.0,158.0,Royal Challengers Bangalore,Bat,RCB,6 runs,Glenn Maxwell,Sharjah Cricket Stadium,
https://stats.espncricinfo.com/ci/engine/match/1254109.html,Sunrisers Hyderabad,Kolkata Knight Riders,115.0,119.0,Sunrisers Hyderabad,Bat,KKR,6 wickets,Shubman Gill,Dubai International Cricket Stadium,
https://stats.espncricinfo.com/ci/engine/match/1254110.html,Chennai Super Kings,Delhi Capitals,136.0,139.0,Delhi Capitals,Field,Capitals,3 wickets,Axar Patel,Dubai International Cricket Stadium,
https://stats.espncricinfo.com/ci/engine/match/1254093.html,Rajasthan Royals,Mumbai Indians,90.0,94.0,Mumbai Indians,Field,Mumbai,8 wickets,Nathan Coulter-Nile,Sharjah Cricket Stadium,
https://stats.espncricinfo.com/ci/engine/match/1254095.html,Sunrisers Hyderabad,Royal Challengers Bangalore,141.0,137.0,Royal Challengers Bangalore,Field,Sunrisers,4 runs,Kane Williamson,Zayed Cricket Stadium,Abu Dhabi
https://stats.espncricinfo.com/ci/engine/match/1254094.html,Chennai Super Kings,Punjab Kings,134.0,139.0,Punjab Kings,Field,Punjab,6 wickets,KL Rahul,Dubai International Cricket Stadium,
https://stats.espncricinfo.com/ci/engine/match/1254106.html,Kolkata Knight Riders,Rajasthan Royals,171.0,85.0,Rajasthan Royals,Field,KKR,86 runs,Shivam Mavi,Sharjah Cricket Stadium,
